Country,Power_Plant,Capacity_MW,Year_Commissioned,Operator,Type,Fuel,Location,Status,Construction_Start,Cost_Billion_USD,Safety_Rating
Indonesia,"Novak, Wood and Snow",132200,2002,Perez-Schmidt,Fast Breeder Reactor,Thorium,"North Scott, Indonesia",Operational,1971,1.87,2
Japan,Campos Inc,212200,1976,"Carroll, Petersen and Smith",Boiling Water Reactor,Thorium,"Matthewborough, Japan",Operational,2020,1.91,3
Montserrat,"Patterson, Stokes and Adams",293200,2011,"Arnold, Perkins and Holmes",Fast Breeder Reactor,Mixed Oxide Fuel,"Ashleymouth, Montserrat",Operational,2009,2.78,3
Guinea,"Parks, Lambert and Mcfarland",120800,2007,"Bradshaw, Mcdonald and Ballard",Pressurized Water Reactor,Mixed Oxide Fuel,"Howardstad, Guinea",Operational,1982,4.86,5
Canada,"Salazar, Rowe and Powell",354200,1994,Ellis-Ayala,Fast Breeder Reactor,Mixed Oxide Fuel,"Mullinschester, Canada",Planned,2011,6.17,3
Greenland,Williams PLC,268500,1988,Gordon-Gibson,Boiling Water Reactor,Mixed Oxide Fuel,"Moorefurt, Greenland",Decommissioned,1993,6.77,5
Dominica,"Rodriguez, Grimes and Acosta",177100,2022,Spencer Inc,Fast Breeder Reactor,Thorium,"Cynthiaside, Dominica",Planned,2019,8.18,5
Anguilla,"Davis, Brown and Martinez",159500,1972,Hurley Ltd,Pressurized Water Reactor,Uranium,"Joshuachester, Anguilla",Operational,1995,1.76,1
Portugal,Martinez-Osborne,437800,1993,"Greer, Williams and Hebert",Pressurized Water Reactor,Mixed Oxide Fuel,"New Russell, Portugal",Decommissioned,1994,8.02,4
Saint Vincent and the Grenadines,"Dunn, Walker and Blankenship",132900,2015,"Cole, Golden and Schwartz",Pressurized Water Reactor,Uranium,"Hughesland, Saint Vincent and the Grenadines",Operational,1989,9.36,3
Bulgaria,Howard-Sullivan,355100,1992,Valdez LLC,Boiling Water Reactor,Mixed Oxide Fuel,"North Carlos, Bulgaria",Operational,2006,5.43,3
Niue,Garcia-Summers,134000,1984,Brown-Romero,Fast Breeder Reactor,Thorium,"Harpershire, Niue",Planned,1979,2.74,1
Kuwait,"Hill, Acosta and Cortez",440300,1993,Bullock-Johnson,Fast Breeder Reactor,Thorium,"Lake Royport, Kuwait",Operational,1994,3.92,2
Grenada,"Morrison, Powell and Fowler",432300,2022,Reed-Dillon,Pressurized Water Reactor,Mixed Oxide Fuel,"North Anthony, Grenada",Decommissioned,1983,6.08,3
Tunisia,Garcia LLC,190400,1976,Sullivan and Sons,Pressurized Water Reactor,Mixed Oxide Fuel,"Steeleton, Tunisia",Under Construction,1972,2.54,5
Bhutan,Glover-Murillo,415000,2002,Johnson-Reese,Pressurized Water Reactor,Thorium,"Leemouth, Bhutan",Planned,1993,8.73,4
Fiji,Anderson Ltd,219200,2003,"Black, Hill and Nelson",Boiling Water Reactor,Mixed Oxide Fuel,"Lake Jasonton, Fiji",Decommissioned,2000,4.22,1
Chad,Gomez Inc,129500,1983,Rodriguez and Sons,Boiling Water Reactor,Thorium,"Philliphaven, Chad",Planned,1998,2.11,1
Poland,Parks LLC,213600,1995,Vega LLC,Pressurized Water Reactor,Uranium,"West Stevenside, Poland",Planned,1987,8.05,3
Macao,Jones-Sanders,298800,2008,"Page, Shaw and Miller",Pressurized Water Reactor,Uranium,"Lake Cody, Macao",Under Construction,1995,1.85,3
Congo,"Jackson, French and Davis",362800,2007,"Banks, Mcfarland and Chapman",Boiling Water Reactor,Thorium,"Lesterport, Congo",Under Construction,2000,6.75,3
Tonga,"Wise, Hernandez and Chavez",328100,1988,Rocha Ltd,Boiling Water Reactor,Thorium,"North Jonathan, Tonga",Planned,1994,1.57,1
Somalia,"Warren, Baker and Myers",154300,1980,"Delgado, Bell and Michael",Boiling Water Reactor,Thorium,"Mooreberg, Somalia",Planned,1992,6.08,3
Chile,Price-Shepard,489700,1984,"Turner, Cummings and Dickerson",Fast Breeder Reactor,Uranium,"Amystad, Chile",Under Construction,1990,4.95,3
Iran,Solis-Lynch,166000,2023,King Inc,Boiling Water Reactor,Mixed Oxide Fuel,"Spenceland, Iran",Operational,1991,9.38,2
Bhutan,Fuller Ltd,61800,1995,"Hamilton, Shepherd and Williams",Boiling Water Reactor,Thorium,"East William, Bhutan",Operational,2005,1.81,4
Liechtenstein,Brewer Ltd,433200,1993,Warren-Holloway,Boiling Water Reactor,Thorium,"Andrewsport, Liechtenstein",Operational,1979,6.44,4
Andorra,Davila-Lee,137200,1996,Thompson Group,Pressurized Water Reactor,Mixed Oxide Fuel,"South Ryan, Andorra",Under Construction,1980,2.17,2
Jersey,Cox PLC,398000,1992,Gonzales Group,Pressurized Water Reactor,Uranium,"Lake Sierraburgh, Jersey",Under Construction,1970,1.7,2
Greece,Nixon-Green,56200,1997,Bartlett-Blackburn,Boiling Water Reactor,Mixed Oxide Fuel,"Lake Kyleland, Greece",Decommissioned,2007,7.41,5
Australia,Chapman and Sons,316600,2023,Singh Group,Boiling Water Reactor,Uranium,"Pattonland, Australia",Decommissioned,2004,2.21,2
Nicaragua,"Carroll, Goodman and Guerrero",339100,1977,Johnson-Robinson,Pressurized Water Reactor,Uranium,"North Heatherfort, Nicaragua",Under Construction,2021,8.83,1
Cocos (Keeling) Islands,"Bell, Knox and Young",205300,2006,Cruz-Dawson,Boiling Water Reactor,Mixed Oxide Fuel,"Port Danielchester, Cocos (Keeling) Islands",Under Construction,2011,8.16,3
British Indian Ocean Territory (Chagos Archipelago),Garcia PLC,169600,1973,Shea-Galvan,Boiling Water Reactor,Mixed Oxide Fuel,"Nicoleville, British Indian Ocean Territory (Chagos Archipelago)",Under Construction,1983,4.03,4
Burkina Faso,Huffman-Harris,475200,2017,Garcia-Moore,Boiling Water Reactor,Uranium,"Myersfurt, Burkina Faso",Decommissioned,1999,6.09,1
Faroe Islands,Davis-Neal,312100,1982,Hoffman PLC,Pressurized Water Reactor,Thorium,"Port Kevin, Faroe Islands",Decommissioned,1983,7.04,2
Latvia,Taylor Ltd,99100,1986,Martinez Group,Boiling Water Reactor,Mixed Oxide Fuel,"Marvinton, Latvia",Planned,1972,6.54,5
Kazakhstan,Mendez Inc,163100,1990,Joyce-Kelley,Fast Breeder Reactor,Thorium,"New Debbiehaven, Kazakhstan",Planned,2023,4.35,1
Aruba,Gonzales-Snyder,213000,1983,Wolf LLC,Boiling Water Reactor,Uranium,"Kimbury, Aruba",Decommissioned,1983,1.82,2
